genus_name,scientific_name,family_name,order_name,class_name,phylum_name,kingdom_name,infra_name,population,category
Allactaga,Allactaga vinogradovi,DIPODIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,NT
Allactodipus,Allactodipus bobrinskii,DIPODIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Allanaspides,Allanaspides helonomus,ANASPIDIDAE,ANASPIDACEA,MALACOSTRACA,ARTHROPODA,ANIMALIA,,,VU
Allanaspides,Allanaspides hickmani,ANASPIDIDAE,ANASPIDACEA,MALACOSTRACA,ARTHROPODA,ANIMALIA,,,VU
Allenopithecus,Allenopithecus nigroviridis,CERCOPITHECIDAE,PRIMATES,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Alligator,Alligator sinensis,ALLIGATORIDAE,CROCODYLIA,REPTILIA,CHORDATA,ANIMALIA,,,CR
Allocebus,Allocebus trichotis,CHEIROGALEIDAE,PRIMATES,MAMMALIA,CHORDATA,ANIMALIA,,,VU
Allocharopa,Allocharopa erskinensis,CHAROPIDAE,STYLOMMATOPHORA,GASTROPODA,MOLLUSCA,ANIMALIA,,,VU
Allocharopa,Allocharopa okeana,CHAROPIDAE,STYLOMMATOPHORA,GASTROPODA,MOLLUSCA,ANIMALIA,,,LR/nt
Allocharopa,Allocharopa tarravillensis,CHAROPIDAE,STYLOMMATOPHORA,GASTROPODA,MOLLUSCA,ANIMALIA,,,LR/nt
Haplochromis,Haplochromis welcommei,CICHLIDAE,PERCIFORMES,ACTINOPTERYGII,CHORDATA,ANIMALIA,,,VU
Allocrangonyx,Allocrangonyx hubrichti,CRANGONYCTIDAE,AMPHIPODA,MALACOSTRACA,ARTHROPODA,ANIMALIA,,,VU
Allocrangonyx,Allocrangonyx pellucidus,CRANGONYCTIDAE,AMPHIPODA,MALACOSTRACA,ARTHROPODA,ANIMALIA,,,VU
Allocricetulus,Allocricetulus eversmanni,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Allodiaptomus,Allodiaptomus satanas,DIAPTOMIDAE,CALANOIDA,MAXILLOPODA,ARTHROPODA,ANIMALIA,,,VU
Allognathus,Allognathus graellsianus,HELICIDAE,STYLOMMATOPHORA,GASTROPODA,MOLLUSCA,ANIMALIA,,,LC
Alloperla,Alloperla roberti,CHLOROPERLIDAE,PLECOPTERA,INSECTA,ARTHROPODA,ANIMALIA,,,EX
Allotoca,Allotoca maculata,GOODEIDAE,CYPRINODONTIFORMES,ACTINOPTERYGII,CHORDATA,ANIMALIA,,,CR
Aloeides,Aloeides caledoni,LYCAENIDAE,LEPIDOPTERA,INSECTA,ARTHROPODA,ANIMALIA,,,VU
